Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extra[1]	extra[2]	extra[3]	extra[4]	extra[5]	extra[6]	hidden_rate1	hidden_rate2	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	rate_category_prior[5]	rate_category_prior[6]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation_alpha[1]	speciation_alpha[2]	speciation_alpha[3]	speciation_beta[1]	speciation_beta[2]
44	-9803.383	-9819.347	15.96438	0.105612	0.0923305	0.0633897	0.615468	0.831213	0.632801	0.046984	0.0151337	0.00264675	0.00658732	0.0294912	0.00195894	0.005545597	0.1808706	0.001951529	0.003912517	0.004159435	0.001116928	0.00192442	0.04616468	0.371984	0.0976368	0.0940067	0.177979	0.0216474	0.236746	0.0732854	0.096496	0.0759287	0.7611	1.00215	0.788552	-2.61339	-2.33825	-2.57796	2.3404	0.0677432
45	-9787.678	-9803.298	15.62048	0.112344	0.0816772	0.0547499	0.801654	0.850766	0.637196	0.046984	0.0151337	0.00264675	0.00410408	0.0387767	0.00141344	0.00518408	0.1751538	0.003351006	0.003519561	0.004159435	0.001116928	0.001713261	0.04616468	0.169158	0.12917	0.124367	0.23546	0.0286387	0.313207	0.0817002	0.0831794	0.0651289	0.996937	1.01499	0.794729	-2.5047	-2.48676	-2.73139	2.50163	0.0341864
46	-9735.268	-9750.99	15.72184	0.105103	0.0858183	0.0598905	0.797932	0.823344	0.693118	0.0401046	0.0215221	0.00321536	0.0047938	0.0387767	0.00154574	0.004204007	0.1710604	0.003342146	0.003880392	0.004231231	0.001294104	0.001713261	0.02913541	0.169158	0.12917	0.124367	0.23546	0.0286387	0.313207	0.0812482	0.0803703	0.070844	0.991422	0.98071	0.864466	-2.51025	-2.52111	-2.64728	2.50163	0.0750795
47	-9706.06	-9722.186	16.12626	0.0998207	0.0838713	0.057851	0.768955	0.844537	0.715852	0.0401046	0.0209045	0.0020309	0.0047938	0.0387767	0.00154574	0.003572344	0.1827396	0.00403609	0.003880392	0.003387958	0.0009561891	0.001631003	0.01638092	0.162143	0.123814	0.160679	0.225695	0.0274511	0.300218	0.0746451	0.0787086	0.0697752	0.955202	1.0072	0.892883	-2.59501	-2.542	-2.66248	2.54918	0.0750795
48	-9702.802	-9719.185	16.38317	0.0977498	0.0784933	0.0630739	0.730165	0.762847	0.776096	0.0401046	0.0209045	0.00161369	0.00369362	0.0370845	0.00154574	0.003112328	0.1842549	0.003493667	0.003880392	0.003387958	0.0007684442	0.001992325	0.01362806	0.140602	0.128941	0.167333	0.235042	0.0154302	0.312651	0.0720564	0.0719861	0.0768252	0.908089	0.907203	0.968188	-2.63031	-2.63128	-2.56622	2.53389	0.00799049
49	-9695.713	-9711.992	16.27911	0.102421	0.0794471	0.0565642	0.789034	0.772974	0.694058	0.0401046	0.0209045	0.00161369	0.00369362	0.0351919	0.00154574	0.002963896	0.1845003	0.003493667	0.002983148	0.003387958	0.0007684442	0.003148228	0.01298724	0.144487	0.132504	0.171957	0.213907	0.0158565	0.32129	0.0778955	0.0731783	0.0686881	0.981675	0.922228	0.86564	-2.55239	-2.61486	-2.67818	2.53389	0.0353788
50	-9693.121	-9709.443	16.32201	0.101108	0.0762924	0.0578735	0.856702	0.796297	0.776456	0.0401046	0.0218612	0.0024414	0.00369362	0.0351919	0.00135556	0.002659039	0.170892	0.003091577	0.001992221	0.003387958	0.0007024553	0.003204387	0.01298724	0.144487	0.132504	0.171957	0.213907	0.0158565	0.32129	0.0762547	0.068039	0.0692901	1.06626	0.951381	0.968876	-2.57368	-2.68767	-2.66945	2.63783	0.17129
51	-9685.967	-9701.861	15.8937	0.0894465	0.0792305	0.0595918	0.673972	0.789815	0.745375	0.0384894	0.0218612	0.00302856	0.00369362	0.0351919	0.00135556	0.002128847	0.1690688	0.003091577	0.002682111	0.003387958	0.0008230604	0.003815242	0.01747751	0.137873	0.202544	0.133754	0.204116	0.0151307	0.306583	0.0636964	0.0717117	0.070704	0.837847	0.943279	0.930024	-2.75363	-2.6351	-2.64925	2.57671	0.156916
52	-9677.547	-9693.421	15.87474	0.0887067	0.0754882	0.0595918	0.692878	0.750646	0.775676	0.0384894	0.0217577	0.00302856	0.00542907	0.0151037	0.00135556	0.00272244	0.1693255	0.003007158	0.002391221	0.003387958	0.0008230604	0.004648282	0.01546678	0.137873	0.202544	0.133754	0.204116	0.0151307	0.306583	0.0627717	0.0671631	0.070704	0.859311	0.919427	0.9679	-2.76825	-2.70063	-2.64925	2.61663	0.17712
53	-9663.579	-9679.325	15.74547	0.0764483	0.0657461	0.0532313	0.672108	0.707832	0.694683	0.0281402	0.015534	0.00302856	0.00542907	0.014876	0.00185626	0.002624772	0.1693255	0.003680819	0.002590697	0.003219592	0.0008431748	0.006052124	0.01159076	0.15241	0.2239	0.147857	0.391129	0.0167261	0.0679785	0.0603852	0.0627652	0.0627535	0.833349	0.866195	0.866033	-2.80701	-2.76835	-2.76854	2.62471	0.125267
