Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extra	log_speciation[1]	log_speciation[2]	log_speciation[3]	q_12	q_13	q_21	q_23	q_31	q_32	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	speciation[1]	speciation[2]	speciation[3]
66	-11110.43	-11117.66	7.239256	0.422446	0.0367662	0.173477	1.349569e-05	-0.638583	-3.0804	-1.52865	0.1686819	0.003119178	0.06193468	0.0002082286	0.01421749	0.003467206	0.177489	0.147956	0.674555	0.52804	0.0459409	0.216829
67	-11110.96	-11118.01	7.049929	0.409303	0.0367662	0.189622	1.349569e-05	-0.670189	-3.0804	-1.43965	0.1686819	0.002667752	0.06193468	0.0002339385	0.01367057	0.005368097	0.285675	0.23814	0.476185	0.511612	0.0459409	0.237011
68	-11114.75	-11121.67	6.922814	0.419549	0.0418378	0.206683	1.349569e-05	-0.645464	-2.95113	-1.35349	0.1686819	0.002402032	0.06193468	0.0004092904	0.01523323	0.003976777	0.285675	0.23814	0.476185	0.524419	0.0522804	0.258337
69	-11114.26	-11121.06	6.804152	0.382559	0.0428024	0.190626	1.349569e-05	-0.737765	-2.92833	-1.43437	0.1686819	0.004396071	0.06193468	0.0004092904	0.01440563	0.003976777	0.285675	0.23814	0.476185	0.478182	0.0534862	0.238266
70	-11114.96	-11121.66	6.70234	0.382559	0.0387565	0.195734	1.349569e-05	-0.737765	-3.02766	-1.40792	0.1686819	0.003645857	0.06193468	0.0004092904	0.01829813	0.003976777	0.291695	0.236133	0.472172	0.478182	0.0484287	0.244651
71	-11112.11	-11119.22	7.106916	0.394502	0.0353817	0.186512	1.349569e-05	-0.707022	-3.1188	-1.45619	0.1761087	0.002291736	0.06193468	0.0005277521	0.01558081	0.002145145	0.381523	0.206186	0.41229	0.49311	0.0442102	0.233123
72	-11110.71	-11117.92	7.207097	0.394502	0.0391021	0.176509	1.349569e-05	-0.707022	-3.01878	-1.51132	0.1761087	0.002881717	0.06193468	0.0004130197	0.01558081	0.002145145	0.280413	0.151543	0.568044	0.49311	0.0488607	0.220619
73	-11110.78	-11117.81	7.031774	0.394502	0.0378718	0.183525	1.349569e-05	-0.707022	-3.05076	-1.47233	0.1761087	0.002904165	0.06193468	0.0005379322	0.01558081	0.002145145	0.314469	0.144371	0.54116	0.49311	0.0473229	0.229389
74	-11112.48	-11119.27	6.784368	0.415684	0.0391839	0.186517	1.349569e-05	-0.654719	-3.01669	-1.45616	0.1761087	0.00376665	0.06193468	0.0005926752	0.01558081	0.002253869	0.346783	0.159206	0.49401	0.519588	0.048963	0.233129
75	-11112.38	-11119.69	7.313947	0.40357	0.0414703	0.168021	1.349569e-05	-0.684295	-2.95996	-1.5606	0.1761087	0.00306383	0.06012027	0.000401769	0.01558081	0.001851776	0.346783	0.159206	0.49401	0.504446	0.051821	0.21001
